epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,505.15,0.91203,0.76312,0.93019,0.96473,0.98559,0.99475,0.77434,0.91357,0.75927,0.92459,0.000390868,0.000390868,0.000390868
92,511.138,0.91311,0.76051,0.92757,0.97116,0.988,0.995,0.76663,0.93069,0.76395,0.93541,0.000389033,0.000389033,0.000389033
93,517.118,0.85671,0.72244,0.92339,0.96477,0.99275,0.995,0.76877,0.94716,0.7615,0.94398,0.000387198,0.000387198,0.000387198
94,523.255,0.88849,0.74296,0.9407,0.9633,0.99063,0.99472,0.7675,0.93691,0.76415,0.9394,0.000385364,0.000385364,0.000385364
95,529.421,0.86561,0.74412,0.93139,0.97201,0.98182,0.99472,0.77209,0.92938,0.76984,0.93843,0.000383529,0.000383529,0.000383529
96,535.407,0.86542,0.73444,0.92742,0.97242,0.97866,0.9946,0.77246,0.91701,0.76094,0.93668,0.000381694,0.000381694,0.000381694
97,541.41,0.89627,0.74378,0.93514,0.95233,0.98548,0.99447,0.75967,0.94165,0.73127,0.94895,0.000379859,0.000379859,0.000379859
98,547.363,0.86606,0.73496,0.93298,0.98185,0.96968,0.99488,0.74959,0.95197,0.72402,0.94439,0.000378024,0.000378024,0.000378024
99,553.255,0.86078,0.73191,0.92525,0.98307,0.9719,0.99464,0.75545,0.93626,0.72874,0.9465,0.00037619,0.00037619,0.00037619
100,559.296,0.88987,0.74887,0.93981,0.98027,0.97777,0.99475,0.74699,0.94912,0.75069,0.93773,0.000374355,0.000374355,0.000374355
101,565.197,0.87213,0.73587,0.93328,0.97225,0.99925,0.995,0.74768,0.95667,0.73377,0.93883,0.00037252,0.00037252,0.00037252
102,571.13,0.87126,0.73057,0.93459,0.97222,0.99797,0.995,0.75804,0.93568,0.73961,0.94058,0.000370685,0.000370685,0.000370685
103,577.13,0.8797,0.72153,0.93736,0.97405,0.99524,0.99488,0.76154,0.93332,0.74177,0.93668,0.00036885,0.00036885,0.00036885
104,582.986,0.88539,0.72782,0.93984,0.97666,0.9913,0.995,0.76955,0.91487,0.74357,0.92663,0.000367016,0.000367016,0.000367016
105,588.943,0.87736,0.71418,0.92916,0.97967,0.98635,0.99488,0.76517,0.91987,0.73375,0.93299,0.000365181,0.000365181,0.000365181
106,594.867,0.86634,0.72328,0.94877,0.97203,0.9879,0.99488,0.75235,0.9395,0.72049,0.92821,0.000363346,0.000363346,0.000363346
107,600.744,0.86685,0.72826,0.93378,0.97249,0.99364,0.99476,0.74542,0.93616,0.7254,0.92134,0.000361511,0.000361511,0.000361511
108,606.733,0.89599,0.7047,0.92926,0.97011,0.99381,0.99488,0.74399,0.94293,0.7466,0.92745,0.000359676,0.000359676,0.000359676
109,612.742,0.85029,0.70545,0.92943,0.97692,0.98404,0.995,0.7546,0.91188,0.7339,0.92292,0.000357842,0.000357842,0.000357842
110,618.997,0.84718,0.69249,0.92122,0.98593,0.9874,0.99488,0.75085,0.91817,0.74923,0.93701,0.000356007,0.000356007,0.000356007
111,625.2,0.8467,0.69743,0.92094,0.98549,0.98682,0.99472,0.76173,0.92688,0.74391,0.93767,0.000354172,0.000354172,0.000354172
112,631.094,0.84048,0.70317,0.91473,0.97766,0.98575,0.9946,0.76208,0.91663,0.72969,0.92904,0.000352337,0.000352337,0.000352337
113,636.925,0.84818,0.68087,0.92438,0.98079,0.98538,0.99488,0.76345,0.90309,0.71735,0.93051,0.000350502,0.000350502,0.000350502
114,642.568,0.83719,0.69653,0.91762,0.97299,0.98219,0.99475,0.76231,0.9029,0.73017,0.92974,0.000348668,0.000348668,0.000348668
115,648.196,0.83278,0.6952,0.92254,0.96995,0.98284,0.99488,0.76376,0.89772,0.73029,0.92223,0.000346833,0.000346833,0.000346833
116,653.895,0.86508,0.68678,0.91837,0.97477,0.98516,0.99488,0.75932,0.8913,0.72442,0.92201,0.000344998,0.000344998,0.000344998
117,659.551,0.84244,0.70966,0.91937,0.97494,0.98723,0.99488,0.76131,0.9014,0.73012,0.9301,0.000343163,0.000343163,0.000343163
118,665.06,0.83624,0.6977,0.91558,0.96787,0.99319,0.995,0.77254,0.90027,0.71265,0.93585,0.000341328,0.000341328,0.000341328
119,670.549,0.86545,0.69731,0.92726,0.97279,0.98814,0.995,0.76493,0.91189,0.70567,0.94043,0.000339494,0.000339494,0.000339494
120,675.991,0.80748,0.68407,0.91434,0.97554,0.98489,0.99476,0.75111,0.9441,0.71882,0.94451,0.000337659,0.000337659,0.000337659
121,681.489,0.83195,0.68662,0.91412,0.97798,0.98119,0.99442,0.7461,0.9307,0.74212,0.93672,0.000335824,0.000335824,0.000335824
122,686.968,0.83679,0.68553,0.91888,0.97763,0.97982,0.99259,0.75531,0.92644,0.72494,0.94363,0.000333989,0.000333989,0.000333989
123,692.41,0.82824,0.67988,0.92221,0.97858,0.97693,0.99212,0.7637,0.92573,0.72604,0.94478,0.000332154,0.000332154,0.000332154
124,697.895,0.83319,0.66001,0.9153,0.9758,0.98048,0.99394,0.76085,0.92888,0.71321,0.93705,0.00033032,0.00033032,0.00033032
125,703.359,0.81921,0.66166,0.91226,0.97684,0.97861,0.99429,0.75978,0.93578,0.71638,0.94434,0.000328485,0.000328485,0.000328485
126,708.9,0.81437,0.66945,0.91749,0.98221,0.9827,0.99475,0.77357,0.92567,0.71282,0.94359,0.00032665,0.00032665,0.00032665
127,714.408,0.80582,0.67155,0.91071,0.97781,0.97952,0.99476,0.77712,0.9203,0.71257,0.9432,0.000324815,0.000324815,0.000324815
128,719.901,0.82174,0.67162,0.9147,0.97304,0.98063,0.99447,0.76599,0.94915,0.72792,0.9472,0.00032298,0.00032298,0.00032298
129,725.431,0.84807,0.67194,0.90668,0.9752,0.97818,0.99448,0.7545,0.95228,0.72664,0.94404,0.000321146,0.000321146,0.000321146
130,730.913,0.8092,0.6703,0.91418,0.98617,0.98265,0.99488,0.74441,0.97111,0.72109,0.95632,0.000319311,0.000319311,0.000319311
131,736.36,0.83765,0.69155,0.93063,0.98099,0.98526,0.995,0.74783,0.96189,0.71314,0.95166,0.000317476,0.000317476,0.000317476
132,741.844,0.82005,0.65516,0.91727,0.97646,0.98573,0.9946,0.76132,0.95542,0.69995,0.93909,0.000315641,0.000315641,0.000315641
133,747.346,0.84223,0.68364,0.91811,0.97623,0.98692,0.99338,0.75668,0.92991,0.71278,0.93396,0.000313806,0.000313806,0.000313806
134,752.819,0.84499,0.65851,0.91885,0.97728,0.9909,0.99376,0.75109,0.93493,0.69849,0.93822,0.000311972,0.000311972,0.000311972
135,758.276,0.81863,0.65705,0.92145,0.97757,0.99116,0.99419,0.76929,0.91306,0.69415,0.93245,0.000310137,0.000310137,0.000310137
136,763.798,0.80748,0.64708,0.91396,0.98608,0.98309,0.99475,0.76084,0.91169,0.68626,0.92214,0.000308302,0.000308302,0.000308302
137,769.318,0.82664,0.64843,0.91099,0.97679,0.98443,0.99488,0.76355,0.89685,0.67684,0.92636,0.000306467,0.000306467,0.000306467
138,774.842,0.799,0.65563,0.91323,0.98433,0.98107,0.99488,0.76002,0.9135,0.68247,0.9413,0.000304632,0.000304632,0.000304632
139,780.308,0.80001,0.64201,0.9038,0.98189,0.9874,0.99488,0.75881,0.92253,0.67551,0.94176,0.000302798,0.000302798,0.000302798
140,785.769,0.81679,0.66294,0.91499,0.97762,0.98159,0.995,0.76145,0.92219,0.67419,0.9428,0.000300963,0.000300963,0.000300963
141,791.325,0.79146,0.63499,0.90857,0.97465,0.97628,0.99472,0.75518,0.92589,0.67645,0.94543,0.000299128,0.000299128,0.000299128
142,796.799,0.80498,0.65647,0.9001,0.97135,0.98451,0.9946,0.75588,0.93062,0.68812,0.9373,0.000297293,0.000297293,0.000297293
143,802.359,0.79709,0.63925,0.90581,0.97177,0.98383,0.995,0.75831,0.93755,0.68582,0.93213,0.000295458,0.000295458,0.000295458
144,807.86,0.79772,0.65064,0.90742,0.96433,0.98554,0.99488,0.75343,0.93606,0.69285,0.9296,0.000293624,0.000293624,0.000293624
145,813.362,0.79297,0.63419,0.90675,0.98007,0.98791,0.9946,0.75268,0.92422,0.69094,0.93631,0.000291789,0.000291789,0.000291789
146,818.846,0.80308,0.65726,0.90688,0.97786,0.98316,0.99444,0.75266,0.94,0.69425,0.94001,0.000289954,0.000289954,0.000289954
147,824.361,0.80067,0.66772,0.91985,0.97463,0.98509,0.99416,0.75779,0.94282,0.70295,0.94247,0.000288119,0.000288119,0.000288119
148,829.849,0.79459,0.64894,0.90977,0.97923,0.98238,0.99419,0.74665,0.94876,0.69849,0.9487,0.000286284,0.000286284,0.000286284
149,835.366,0.80471,0.6441,0.90931,0.97938,0.98329,0.99436,0.75782,0.95139,0.6883,0.9472,0.00028445,0.00028445,0.00028445
150,840.88,0.8074,0.63791,0.90336,0.98415,0.9804,0.99431,0.75492,0.94952,0.6992,0.95563,0.000282615,0.000282615,0.000282615
151,846.419,0.80381,0.64776,0.92341,0.98391,0.98347,0.99435,0.75711,0.93636,0.70331,0.95376,0.00028078,0.00028078,0.00028078
152,851.906,0.80696,0.64618,0.91207,0.9796,0.97809,0.99431,0.76386,0.93762,0.70021,0.93941,0.000278945,0.000278945,0.000278945
153,857.373,0.79057,0.63436,0.8953,0.98456,0.97417,0.99439,0.75693,0.94823,0.69569,0.95086,0.00027711,0.00027711,0.00027711
154,862.89,0.808,0.64654,0.91608,0.98614,0.98097,0.99431,0.75657,0.91654,0.6869,0.93791,0.000275276,0.000275276,0.000275276
155,868.372,0.75077,0.6399,0.89242,0.98444,0.98087,0.99419,0.75421,0.92691,0.69691,0.93478,0.000273441,0.000273441,0.000273441
156,873.866,0.80005,0.63713,0.91549,0.9822,0.98446,0.99409,0.75476,0.92862,0.68451,0.94194,0.000271606,0.000271606,0.000271606
157,879.392,0.78695,0.62802,0.90846,0.98393,0.98118,0.99475,0.75131,0.92895,0.67896,0.93518,0.000269771,0.000269771,0.000269771
158,884.897,0.80526,0.63208,0.9147,0.9857,0.98033,0.99488,0.75779,0.9158,0.66809,0.92993,0.000267936,0.000267936,0.000267936
159,890.424,0.79098,0.62359,0.90783,0.98921,0.9812,0.99488,0.76131,0.90802,0.66346,0.93136,0.000266102,0.000266102,0.000266102
160,896.011,0.78733,0.61582,0.90531,0.98771,0.9841,0.995,0.75302,0.95659,0.66804,0.93925,0.000264267,0.000264267,0.000264267
161,901.631,0.77784,0.62177,0.90362,0.98745,0.98157,0.995,0.76094,0.91449,0.66201,0.9307,0.000262432,0.000262432,0.000262432
162,907.404,0.79288,0.64141,0.90308,0.98326,0.98124,0.995,0.74859,0.93539,0.67314,0.93564,0.000260597,0.000260597,0.000260597
163,913.042,0.79031,0.62528,0.91009,0.98431,0.98113,0.995,0.74824,0.93795,0.67584,0.94011,0.000258762,0.000258762,0.000258762
164,918.701,0.76394,0.62,0.90307,0.98432,0.97894,0.99476,0.75521,0.93278,0.67828,0.94049,0.000256928,0.000256928,0.000256928
165,924.339,0.7863,0.61763,0.90475,0.98109,0.98255,0.99488,0.75814,0.91718,0.66504,0.93809,0.000255093,0.000255093,0.000255093
166,929.933,0.77597,0.61966,0.90544,0.9791,0.98607,0.99488,0.76373,0.91177,0.66092,0.92858,0.000253258,0.000253258,0.000253258
167,935.593,0.77771,0.61259,0.90143,0.98382,0.97989,0.99488,0.76234,0.91779,0.66167,0.92846,0.000251423,0.000251423,0.000251423
